Link,URL
E182 - Institut für Technische Informatik,/adressbuch/adressbuch/orgeinheit/1602
E183 - Institut für Rechnergestützte Automation,/adressbuch/adressbuch/orgeinheit/2
E184 - Institut für Informationssysteme,/adressbuch/adressbuch/orgeinheit/1603
E185 - Institut für Computersprachen,/adressbuch/adressbuch/orgeinheit/1604
E186 - Institut für Computergraphik und Algorithmen,/adressbuch/adressbuch/orgeinheit/1605
E187 - Institut für Gestaltungs- und Wirkungsforschung,/adressbuch/adressbuch/orgeinheit/1624
E188 - Institut für Softwaretechnik und Interaktive Systeme,/adressbuch/adressbuch/orgeinheit/1606
E195 - Zentrum für Koordination & Kommunikation der Fakultät für Informatik,/adressbuch/adressbuch/orgeinheit/1663
E520 - Studiendekanat für Informatik,/adressbuch/adressbuch/orgeinheit/1655
E525 - Studiendekanat für Wirtschaftsinformatik,/adressbuch/adressbuch/orgeinheit/1656
